restaurant_id,city,cuisine,price_tier_2019,price_2019,price_2024,inflation_rate,years_open_pre_2019,review_trajectory,rent_index,closed,time_to_event_months
R00000,LA,Japanese,$$$,23.13,30.82,0.3324,3.1,-1.871,1.494,0,72
R00001,NYC,Mexican,$,10.05,12.92,0.2853,14.0,0.945,1.327,0,72
R00002,Chicago,American,$$,14.88,17.7,0.19,1.3,0.018,1.032,0,72
R00003,LA,Chinese,$,11.59,14.7,0.2686,2.2,-1.065,1.131,1,53
R00004,NYC,Mexican,$,10.47,13.81,0.3195,3.4,1.617,1.262,0,72
R00005,Chicago,American,$$,16.1,19.79,0.2292,6.1,0.042,1.057,0,72
R00006,LA,Vietnamese,$,7.24,9.84,0.3579,6.1,-1.335,1.235,0,72
R00007,LA,Mediterranean,$$,16.06,20.77,0.2931,17.6,1.572,1.185,0,72
R00008,NYC,Thai,$$,13.77,18.09,0.313,1.0,1.355,1.424,1,24
R00009,LA,Mediterranean,$$,13.31,17.09,0.2838,19.3,-0.909,1.441,0,72
R00010,NYC,Indian,$$$,19.04,25.35,0.3312,1.2,-0.323,1.886,0,72
R00011,Chicago,Indian,$$,13.03,15.19,0.1659,2.8,-0.458,1.162,0,72
R00012,LA,Mexican,$,11.98,16.45,0.3736,1.6,-1.889,1.241,0,72
R00013,Chicago,American,$$,14.38,17.1,0.1887,5.8,0.325,0.822,0,72
R00014,NYC,Mexican,$$,12.32,16.23,0.3178,1.1,0.845,1.563,0,72
R00015,NYC,Mexican,$$,15.82,21.47,0.357,5.0,0.657,1.572,0,72
R00016,LA,Chinese,$$$,20.29,26.3,0.2962,5.2,0.033,1.316,0,72
R00017,NYC,Thai,$$,16.01,21.36,0.3343,1.9,0.942,1.264,0,72
R00018,Chicago,Indian,$$,17.64,22.17,0.2571,6.0,-1.135,1.107,0,72
R00019,LA,FastFood,$,11.58,15.35,0.3255,1.6,1.818,1.447,0,72
R00020,LA,FastFood,$,8.89,12.59,0.4164,1.8,-0.772,1.067,0,72
R00021,NYC,Mediterranean,$$$,22.55,29.89,0.3254,7.1,-0.661,1.574,0,72
R00022,Chicago,Mexican,$$,14.42,18.81,0.3051,0.5,-0.575,0.907,0,72
R00023,Chicago,Mediterranean,$$,17.45,22.24,0.2746,1.2,-0.648,0.988,0,72
R00024,LA,Thai,$$,14.91,18.71,0.2547,5.0,-0.193,1.071,0,72
R00025,NYC,Mediterranean,$$,12.25,17.13,0.3987,1.0,-0.231,1.39,0,72
R00026,LA,Chinese,$$,13.7,17.07,0.2456,5.8,0.13,1.152,0,72
R00027,NYC,Mexican,$,9.47,12.74,0.3457,4.1,-0.819,1.524,0,72
R00028,NYC,FastFood,$,6.34,8.54,0.3457,14.6,0.167,1.614,0,72
R00029,LA,Chinese,$$,13.46,17.28,0.2838,16.9,-1.09,1.389,0,72
R00030,LA,Italian,$$,14.73,17.78,0.2073,5.3,0.732,1.11,0,72
R00031,Chicago,Japanese,$$$,21.97,25.96,0.1814,6.1,0.72,1.044,0,72
R00032,NYC,Mexican,$$,12.82,17.93,0.3994,25.7,-0.006,1.271,1,34
R00033,NYC,Mexican,$$,12.92,16.53,0.2798,1.4,-0.65,1.431,1,34
R00034,LA,FastFood,$,7.22,10.03,0.3892,0.9,0.311,1.206,1,52
R00035,NYC,Mediterranean,$$$,19.98,26.43,0.3224,6.3,-0.888,1.298,0,72
R00036,NYC,FastFood,$,8.36,11.22,0.341,1.3,0.035,1.551,1,71
R00037,LA,Italian,$$$,19.49,24.49,0.2566,2.1,-0.152,1.178,0,72
R00038,NYC,Chinese,$,10.48,13.75,0.3121,13.1,2.63,1.477,0,72
